I1,I2,E,T1,T2,T3,T4,T5,T6,T7
5.27,1.76,3.02,4.5,7,2.24,7,7,7,7
7,2.29,4.06,6.76,7,5.59,4.09,7,7,6.79
7,3.95,6.18,7,2.18,7,7,2.82,5.29,5.46
6.61,6.59,7,4.88,7,6.96,1.6,4.22,4.27,5.83
6.73,5.99,1.98,2.76,7,2.38,7,5.98,7,5.52
7,7,7,2.87,6.87,6.12,3.75,3.5,2.65,6.16
7,6.83,7,7,7,6.75,4.29,3.57,7,1.52
7,3.33,4.94,5.68,3.1,1.98,5.55,5.79,7,6.71
7,7,7,6.83,6.23,3.97,7,5.12,7,3.4
7,4.51,7,7,7,7,3.51,7,4.66,7
4.78,4.86,2.27,7,7,2.48,4.73,4.35,4.92,1.58
6.61,2.12,5.82,6.46,7,7,7,2.72,7,4.12
2.62,7,5.86,7,6.23,6.06,2.88,7,6.36,5.37
6.89,7,2.59,6.74,5.33,7,3.84,5.72,5.27,2.08
7,6.47,7,1.42,2.4,6.22,1.74,3.84,3.49,3.86
7,2.1,4.73,3.73,5.24,2.43,7,3.45,7,7
2.19,6.49,7,7,7,5.33,2.88,6.79,6.54,6.92
5.0,7,5.96,5.25,7,4.01,4.7,7,5.63,4.09
4.06,7,5.45,2.9,3.19,7,3.07,7,3.24,1.49
3.75,1.43,7,7,3.47,7,3.47,7,4.66,6.01
5.03,7,5.36,7,7,7,2.1,6.86,7,7
2.96,6.78,6.02,7,2.82,6.01,3.28,4.43,3.02,7
3.39,7,5.92,3.23,7,7,2.52,3.47,3.57,7
4.14,7,7,4.4,4.04,7,5.63,4.92,7,7
7,6.68,7,7,7,7,7,3.9,4.55,3.96
5.08,7,2.46,5.31,6.04,7,2.28,6.21,7,7
7,3.3,1.98,2.3,7,7,7,7,4.82,7
3.77,3.81,6.13,6.43,7,3.65,2.29,5.02,7,5.27
7,7,2.8,7,2.91,7,7,2.18,5.01,7
7,2.85,7,3.6,1.68,7,6.38,7,5.72,3.42
7,1.57,7,7,4.57,1.79,5.09,4.74,5.42,4.62
2.87,7,5.76,6.32,2.27,7,1.7,3.65,2.37,3.02
7,7,3.41,7,2.01,2.04,2.08,2.71,5.71,1.52
4.87,6.46,5.93,3.2,5.06,4.16,3.84,7,6.66,5.93
4.59,6.02,6.02,5.87,3.27,5.49,7,7,4.25,5.25
2.26,1.58,1.54,6.81,4.9,3.92,7,2.05,7,7
4.3,6.36,6.86,4.25,3.86,2.46,5.62,7,3.32,1.48
2.26,7,7,7,7,7,2.91,2.37,6.55,4.49
1.91,7,3.07,5.27,7,5.96,4.44,2.85,2.67,4.12
5.94,7,4.86,7,2.44,4.05,5.31,2.76,5.16,5.31
6.99,7,5.77,3.7,5.59,3.37,5.8,2.36,7,1.74
7,4.53,1.83,5.47,7,7,7,3.76,7,3.77
7,7,5.56,1.42,4.27,6.23,3.13,7,2.87,7
7,5.47,7,2.99,7,5.66,1.96,3.44,7,7
5.1,7,1.64,7,7,5.99,1.97,3.18,7,5.19
1.89,7,2.69,7,7,5.24,5.27,7,4.6,7
2.74,7,4.01,6.59,7,2.85,5.89,6.37,7,4.21
2.14,4.13,7,7,4.64,4.67,3.53,3.31,2.76,6.47
7,5.04,7,6.85,7,5.36,2.69,3.64,6.39,4.46
6.82,5.83,7,4.66,7,7,5.65,3.33,1.8,1.75
5.39,2.74,5.19,6.71,7,3.21,7,7,5.52,2.22
6.25,6.47,6.24,4.27,7,6.48,3.94,6.17,7,4.79
7,5.49,7,7,7,3.75,2.25,2.75,3.11,7
5.9,4.32,4.33,7,5.64,7,4.83,7,7,3.81
1.96,5.55,4.47,2.4,2.65,4.66,2.18,6.09,7,7
7,7,5.35,7,7,7,3.36,4.93,7,3.62
1.83,6.06,3.26,4.51,3.24,7,2.4,7,5.92,3.44
7,1.96,3.15,1.72,4.01,2.3,7,1.75,4.31,4.98
7,6.94,6.1,2.87,7,7,6.83,7,6.32,2.28
2.21,3.12,2.97,3.73,7,4.07,2.49,7,5.17,4.68
5.79,6.31,7,1.48,5.41,3.51,7,1.67,7,7
6.18,3.14,7,7,7,4.8,7,6.76,7,6.23
4.27,1.85,7,5.24,7,5.34,3.9,6.22,6.63,4.26
2.57,1.96,7,7,7,7,4.69,7,7,7
4.7,1.49,7,7,7,7,7,5.74,6.83,1.96
6.92,6.9,3.65,6.48,2.92,7,1.75,7,7,3.76
7,6.99,7,7,7,7,7,7,7,2.96
7,6.64,7,2.0,1.83,7,7,7,4.0,1.67
6.73,1.55,2.27,2.33,7,5.88,6.37,3.59,5.66,7
5.32,2.72,7,6.31,7,7,7,7,4.23,1.66
2.44,7,5.82,5.71,6.4,3.64,4.3,5.31,7,3.58
4.48,2.36,4.89,7,7,7,7,4.93,7,1.49
6.86,7,7,1.94,7,4.93,7,6.41,3.24,1.94
2.79,3.81,2.25,7,7,7,2.22,7,2.51,3.06
3.12,2.24,7,1.45,4.34,4.94,6.96,3.45,7,7
7,5.08,5.42,4.94,5.37,3.02,6.48,4.05,4.28,4.17
7,7,7,7,7,4.7,7,3.69,6.94,4.2
7,7,3.71,1.86,4.93,2.78,7,3.96,7,5.2
6.35,7,7,7,1.7,7,3.12,5.01,7,7
1.96,7,5.74,7,4.88,3.14,7,7,1.65,7
7,7,5.47,3.89,7,7,6.89,5.37,7,7
4.49,6.86,1.62,2.3,6.49,3.15,7,6.62,6.55,2.28
7,7,2.08,4.51,7,7,7,7,2.64,4.41
7,7,4.37,7,7,2.54,4.25,1.55,7,7
7,6.84,3.18,3.31,7,5.38,7,7,6.94,7
7,7,6.85,7,2.24,4.2,4.0,4.57,2.93,4.43
4.86,5.3,7,2.48,7,7,7,5.13,4.82,7
2.03,3.83,7,5.32,5.12,3.94,5.72,7,1.95,3.34
4.6,7,5.31,2.56,5.8,3.34,2.82,7,5.89,3.72
7,7,7,6.57,1.87,2.55,7,7,1.78,7
4.48,7,7,4.56,5.44,3.32,7,7,3.79,7
2.97,5.14,3.92,7,4.25,7,3.43,7,7,7
4.87,1.45,6.74,2.5,1.62,6.54,7,4.57,2.69,7
3.27,6.17,2.45,7,7,1.5,7,6.48,4.43,5.27
7,3.89,7,2.4,4.1,6.2,6.78,7,4.58,7
7,7,2.94,5.76,7,7,7,7,2.09,3.67
7,6.99,3.46,1.74,7,4.34,7,3.43,3.67,4.35
1.88,3.91,6.11,1.64,3.33,7,5.21,2.35,7,7
6.0,7,7,7,5.85,2.73,7,6.74,4.28,4.13
7,7,7,1.57,4.45,7,7,6.95,3.13,7
7,2.63,3.76,3.95,5.42,2.93,7,7,3.38,4.03
7,7,7,1.73,1.92,4.9,5.95,2.61,3.49,2.34
2.41,7,1.92,7,7,6.21,1.42,4.7,2.55,2.3
4.87,5.71,2.95,3.37,6.16,5.83,6.57,3.29,5.27,4.78
3.88,4.95,6.98,5.48,7,3.22,7,7,3.62,7
5.85,2.14,6.18,4.51,6.85,2.15,6.11,5.07,6.47,1.45
7,7,1.47,7,5.43,3.24,2.73,6.99,2.28,7
5.12,4.08,7,7,2.32,7,5.66,6.82,4.0,4.69
7,2.39,6.71,4.69,6.85,5.14,3.96,5.15,2.53,3.43
7,7,3.92,4.77,1.75,2.1,6.91,7,4.96,5.29
2.74,7,2.5,4.2,1.62,6.08,4.09,3.8,6.75,7
7,6.24,6.54,6.63,2.71,3.96,7,4.0,7,2.77
2.27,2.28,2.64,6.01,3.43,7,7,5.89,7,1.85
7,3.01,7,4.35,7,4.38,7,7,3.73,7
4.92,6.42,7,2.7,2.54,7,7,6.24,3.74,3.01
7,6.21,4.88,2.12,6.3,6.55,7,7,7,7
5.78,7,7,7,7,7,6.01,7,7,1.72
1.6,2.31,6.23,5.28,7,7,4.66,2.84,1.41,7
1.54,3.83,2.88,5.15,7,7,6.05,5.03,6.66,1.42
1.74,1.48,3.21,7,5.38,7,2.15,4.08,6.32,4.6
7,6.97,6.96,1.82,7,1.68,2.67,7,7,4.1
7,6.71,7,6.97,7,2.81,7,7,3.04,2.52
7,2.66,7,7,7,7,3.54,4.84,6.83,2.63
5.99,5.86,6.93,4.26,7,7,7,7,2.09,7
6.2,2.69,7,6.62,2.42,7,7,7,3.91,7
5.61,6.54,2.98,4.71,7,7,2.87,1.58,6.45,7
4.37,2.01,5.95,2.75,7,7,4.19,7,3.96,7
7,7,7,2.93,2.35,7,2.16,1.67,2.4,7
7,3.8,3.2,7,7,4.66,5.15,4.67,7,7
7,6.21,2.33,6.15,4.83,4.73,5.92,2.04,2.25,5.45
3.96,2.45,7,5.35,3.53,7,6.89,6.58,5.41,7
6.29,6.05,5.12,3.76,7,3.01,5.47,3.87,1.67,2.57
7,6.62,4.2,7,3.99,2.76,4.41,4.81,2.83,7
5.74,2.91,5.64,7,7,7,3.81,5.94,7,7
2.89,2.83,2.9,5.73,7,1.75,7,5.14,6.09,6.32
7,7,6.85,5.71,7,4.07,3.38,7,4.52,4.13
7,3.05,6.95,5.58,6.3,2.84,7,2.53,4.06,3.64
5.71,7,7,4.84,1.42,1.72,7,7,4.45,5.18
7,7,1.58,4.71,6.33,3.56,6.84,6.37,7,3.12
2.53,7,2.38,6.18,1.95,7,7,7,4.74,3.21
1.74,7,1.76,5.47,1.62,2.11,5.59,2.01,6.3,2.27
7,7,2.22,1.87,4.66,7,7,3.94,7,2.96
6.04,2.1,7,5.04,2.85,6.49,7,3.16,5.6,3.32
4.51,3.37,6.06,5.91,4.29,1.51,4.96,5.65,3.94,7
3.55,4.18,2.59,7,6.79,7,4.82,7,5.67,7
4.71,5.66,2.32,7,2.17,6.17,7,7,4.22,6.14
4.41,6.18,7,7,3.59,7,4.24,6.04,7,6.08
7,4.25,7,7,3.23,5.69,5.08,6.83,7,4.18
6.45,2.99,7,5.03,5.09,6.67,6.82,4.68,7,3.71
3.87,7,1.53,1.98,3.99,4.85,7,7,1.6,4.22
7,7,7,7,3.75,5.4,2.17,6.99,3.41,1.98
3.61,7,2.44,7,7,6.05,7,2.95,3.51,4.33
7,2.86,7,7,5.74,5.25,7,7,6.72,7
7,7,3.65,7,7,2.85,3.76,2.97,5.68,7
7,3.9,7,4.8,7,7,3.91,4.52,7,2.02
5.46,5.06,5.34,2.59,4.95,6.42,6.91,5.74,6.75,2.47
5.81,1.75,2.97,5.42,2.48,7,3.99,6.47,4.77,5.89
3.45,3.98,3.22,2.33,4.69,3.5,7,6.03,7,7
1.71,6.5,7,4.54,3.66,2.28,6.98,2.68,7,6.88
7,4.5,7,4.78,4.47,7,1.94,7,6.67,2.13
6.3,7,3.48,7,1.48,7,6.46,7,3.78,4.36
1.59,5.97,6.32,4.27,6.5,7,7,5.5,5.37,4.32
2.95,6.58,7,7,7,7,3.71,7,7,7
1.53,2.29,5.31,7,2.05,7,7,6.03,4.03,1.96
1.67,1.95,6.41,6.26,3.02,1.68,1.77,3.85,6.2,6.17
5.5,4.43,5.57,6.0,7,7,7,3.39,7,7
6.69,1.67,3.92,7,7,5.61,2.46,3.8,7,7
2.22,4.56,5.1,7,4.93,7,6.02,3.89,7,1.48
2.16,5.25,3.51,5.94,4.74,7,1.44,4.71,4.5,4.06
7,5.6,5.98,6.91,7,1.61,5.64,4.98,6.15,2.74
1.71,7,7,3.75,7,7,5.42,2.93,3.56,7
7,3.97,1.66,7,7,4.91,2.7,6.7,2.84,7
6.83,7,7,4.5,7,7,5.15,7,3.45,4.94
7,5.01,7,6.03,7,7,5.91,6.18,6.12,1.52
6.52,5.41,7,3.05,4.4,7,6.17,2.68,7,4.63
2.02,3.79,1.46,6.14,2.27,3.17,3.51,6.75,4.54,7
7,2.13,5.02,7,7,7,4.89,5.66,4.44,5.96
2.62,3.15,1.51,4.53,5.45,7,7,7,6.69,4.95
2.4,5.3,7,1.91,4.18,2.5,5.27,5.9,6.58,5.38
2.06,5.63,7,2.3,5.93,7,7,4.99,6.79,7
6.52,2.33,5.34,2.38,3.64,4.86,7,4.99,5.9,5.9
7,3.84,3.91,6.43,1.76,7,3.3,7,6.56,7
6.33,4.91,7,2.43,7,5.63,5.56,5.57,4.21,5.41
4.64,7,6.64,7,6.61,2.8,6.58,3.23,2.02,4.67
5.38,3.38,6.22,5.77,7,3.27,7,2.9,5.75,6.32
7,1.81,2.54,1.43,4.91,1.69,7,7,4.36,3.43
7,3.14,7,2.8,4.8,4.17,7,7,2.16,7
7,2.63,7,7,2.45,4.4,7,7,3.09,5.61
7,4.62,2.82,7,2.94,7,7,1.91,4.59,7
4.32,3.8,6.56,6.46,3.06,5.84,6.03,6.85,3.99,4.99
3.36,1.6,7,7,6.56,4.34,3.71,2.86,1.99,7
2.49,7,1.8,7,2.36,7,7,5.79,7,6.43
4.25,7,7,7,7,4.17,2.77,7,7,5.84
7,2.11,4.45,2.95,5.7,5.63,1.9,7,3.41,6.97
7,2.56,7,4.69,5.59,7,1.66,6.78,6.6,7
2.07,5.39,6.45,5.0,7,6.22,5.18,7,7,6.21
7,7,5.77,7,7,1.65,7,4.75,4.29,3.86
7,7,7,2.24,7,7,6.28,4.75,6.63,7
3.08,7,1.97,3.46,2.98,7,4.4,6.52,7,2.36
7,7,7,6.52,4.73,3.31,2.98,5.83,6.42,7
7,7,7,4.39,7,4.75,3.06,1.44,6.04,7
7,7,7,1.94,2.74,2.47,7,3.4,7,2.84
7,5.54,7,2.67,3.8,3.88,7,7,7,3.28
7,2.46,4.69,7,3.48,7,2.07,7,1.82,7
7,6.11,7,3.33,1.9,1.4,2.63,4.47,7,7
7,2.21,7,7,7,2.06,7,7,7,5.11
3.96,7,2.31,7,5.55,7,7,6.01,7,7
7,7,7,5.64,7,3.64,1.79,1.98,4.04,6.82
7,7,1.57,1.8,7,4.72,1.95,6.98,7,7
7,3.7,7,6.11,6.08,7,6.51,2.29,7,6.71
7,3.41,7,7,7,7,1.53,1.51,5.64,2.74
7,7,7,7,7,7,5.71,6.94,2.43,3.82
5.53,3.19,7,7,6.06,3.12,6.9,7,7,7
2.38,7,6.16,3.61,2.25,4.02,6.35,6.74,5.38,6.6
4.69,7,7,4.38,3.87,3.62,7,1.81,7,7
1.92,7,7,7,7,7,7,7,7,3.28
2.43,3.7,1.51,7,6.37,5.1,4.93,4.12,3.54,7
1.51,3.42,6.13,7,5.13,6.06,7,7,6.13,3.07
6.44,6.32,1.63,7,5.17,2.88,6.39,4.26,6.22,4.68
5.66,5.5,7,5.33,3.98,7,6.51,3.3,5.27,6.44
1.61,2.45,2.76,7,5.56,2.2,7,3.69,5.9,5.21
7,3.11,1.69,7,7,7,3.55,7,6.52,3.73
3.32,1.84,4.61,4.18,7,4.75,5.22,6.87,1.76,7
7,2.27,2.63,4.44,7,7,2.76,7,4.95,1.95
1.77,2.02,2.84,6.19,2.91,7,4.81,3.48,7,7
6.86,2.19,4.85,4.81,6.69,7,5.72,7,7,1.89
4.95,7,6.34,2.83,3.21,3.89,1.59,1.79,7,7
7,5.26,2.63,3.26,4.11,4.51,4.22,3.69,4.02,7
1.94,7,2.54,3.32,1.65,5.03,7,4.02,7,3.34
7,4.9,3.99,7,5.92,6.41,7,5.72,7,3.52
5.64,7,7,7,6.75,6.8,2.14,7,4.13,5.86
1.65,3.86,2.44,2.05,4.17,3.67,7,6.17,3.49,5.64
7,5.42,2.4,7,1.62,2.28,6.46,4.88,7,1.54
4.42,7,6.07,7,2.36,1.64,1.54,1.48,6.06,7
1.85,7,5.51,7,4.29,3.66,5.02,4.45,3.08,2.7
5.53,3.5,4.7,3.03,5.7,3.34,7,5.71,7,4.59
3.8,5.82,4.26,4.85,6.89,1.83,7,7,7,2.09
6.2,3.83,1.71,7,7,4.25,7,7,7,1.94
6.57,4.86,7,7,2.45,6.75,6.81,5.11,4.6,5.96
5.94,7,7,1.74,7,6.59,3.86,7,3.18,6.25
7,3.63,4.65,7,7,7,7,5.7,7,5.99
1.81,1.49,7,7,4.93,2.47,4.4,1.59,7,7
7,4.69,7,6.21,5.46,3.55,5.97,1.99,2.81,1.66
7,1.86,7,1.66,4.4,4.87,7,7,7,4.49
7,6.16,5.28,3.0,4.04,5.43,3.03,3.9,2.97,3.77
4.81,1.98,5.48,4.13,4.18,5.99,3.13,7,6.92,3.3
3.31,7,7,6.39,7,5.3,7,2.99,4.79,7
2.22,4.94,7,2.6,4.32,7,7,2.92,6.7,1.47
4.56,2.79,7,7,7,7,3.77,4.15,3.91,7
6.82,7,7,4.59,6.2,7,7,2.78,7,6.25
3.77,5.1,7,7,6.59,2.31,2.92,5.04,6.73,4.36
7,7,6.72,7,7,3.76,3.19,6.79,2.18,3.16
2.74,6.26,2.43,1.71,7,7,7,5.74,2.17,3.42
4.87,2.64,5.92,4.36,1.99,5.19,4.07,2.7,5.92,2.98
6.21,7,6.64,7,2.36,7,3.44,6.14,2.14,7
4.83,7,4.64,7,4.55,3.72,6.53,6.74,7,7
3.05,3.79,7,2.71,7,7,2.31,3.82,5.18,7
1.59,7,4.19,7,2.37,2.55,7,1.73,4.44,4.15
4.66,6.86,4.83,7,3.8,3.44,7,2.64,4.53,3.7
7,3.17,7,5.62,3.77,4.08,2.09,1.8,6.4,2.38
7,7,2.95,3.22,1.61,4.28,4.58,5.38,3.16,7
3.01,4.45,2.98,6.18,5.82,4.91,4.91,5.41,5.65,7
6.07,1.9,4.71,4.24,7,2.26,5.53,2.14,7,6.0
7,7,6.88,6.42,6.81,5.62,7,6.5,1.66,2.07
7,7,3.23,6.2,6.37,7,3.05,6.51,2.29,7
5.59,3.19,7,2.0,1.85,7,6.92,6.86,2.99,2.38
6.5,3.44,7,6.41,5.39,2.93,6.33,5.7,7,1.83
4.72,7,7,6.84,7,4.89,7,6.7,6.95,7
7,3.41,6.32,6.25,5.16,4.57,6.4,6.84,4.01,7
7,7,7,7,3.49,7,7,4.61,3.33,2.6
5.74,6.82,7,2.29,4.92,4.3,7,2.45,7,7
2.43,6.6,7,3.96,5.13,7,4.75,7,7,1.75
5.48,2.79,7,7,6.66,3.32,2.88,4.98,7,7
2.69,3.14,3.06,2.67,5.12,4.46,4.59,6.96,3.17,3.39
6.32,3.22,7,1.43,4.85,6.09,1.63,7,7,3.32
6.55,2.34,4.69,2.39,6.52,5.46,3.72,5.42,7,3.9
6.88,7,3.74,6.25,7,2.02,5.06,2.0,2.47,4.24
3.56,2.02,3.04,6.33,7,7,7,4.49,4.24,4.99
2.16,7,7,5.26,3.03,5.4,7,2.46,6.24,7
7,6.05,7,4.46,7,5.49,7,3.94,5.75,1.92
7,1.84,4.17,6.05,5.61,4.67,3.77,2.1,5.12,7
6.58,1.76,7,6.78,4.64,6.81,4.45,4.53,2.82,6.29
7,3.14,4.37,5.32,1.5,2.09,6.02,1.43,3.33,7
7,7,5.69,5.91,5.39,6.05,3.48,3.27,1.49,7
2.1,7,2.66,7,3.96,2.47,4.67,3.6,7,2.19
7,7,6.0,5.42,6.49,5.91,3.07,3.74,4.16,1.87
7,5.0,7,7,5.17,4.71,1.64,7,5.19,6.27
3.9,7,7,7,2.74,6.68,3.08,4.7,6.48,3.08
1.9,2.87,4.74,4.59,3.16,7,3.82,7,7,2.06
1.57,7,2.88,6.74,3.43,6.83,6.54,7,6.91,3.41
5.46,6.27,7,2.26,6.6,4.82,3.3,7,3.07,4.29
1.88,4.01,3.49,5.61,3.64,1.92,4.18,5.25,1.54,2.78
6.36,4.82,1.63,7,3.32,5.5,4.72,5.8,3.88,6.01
3.27,7,3.26,6.7,1.45,7,7,5.83,3.19,5.45
4.83,7,1.59,5.4,2.68,4.6,6.94,4.68,2.34,4.2
3.66,1.86,6.46,7,7,7,3.7,2.65,7,7
3.64,3.07,4.87,5.72,2.47,5.81,2.39,3.14,7,6.56
3.91,3.39,6.56,5.24,2.42,7,7,6.24,4.92,7
3.31,6.01,7,3.94,2.52,2.2,3.99,7,2.93,7
4.7,1.65,3.1,4.35,7,5.26,1.4,5.15,3.05,4.95
3.13,5.13,2.5,2.6,6.44,7,4.06,6.74,1.73,6.2
6.38,6.45,7,7,6.91,1.98,7,4.38,7,3.76
7,2.29,7,5.77,5.53,7,1.61,5.84,1.92,3.21
4.38,1.64,7,4.91,3.13,5.93,2.64,7,4.57,7
5.75,3.65,5.68,2.63,6.65,6.62,7,4.99,4.24,5.21
2.42,2.49,1.94,5.25,3.16,5.95,3.6,2.05,4.21,7
1.75,7,2.81,4.66,7,3.96,5.57,5.16,7,7
4.53,7,7,6.42,7,6.61,4.64,6.19,6.33,3.67
7,3.56,7,2.96,7,7,6.63,4.32,4.63,7
5.54,3.8,7,5.24,7,7,4.54,5.11,6.45,5.78
2.2,7,3.28,7,7,2.33,7,4.72,5.76,5.45
7,4.53,5.08,1.71,1.64,7,7,7,1.73,5.22
7,2.47,6.47,2.82,2.12,4.23,2.68,2.03,7,6.07
6.79,7,6.43,4.19,4.81,7,3.66,7,7,7
7,7,4.72,2.13,2.23,6.38,7,6.78,2.37,7
3.22,3.89,7,6.89,2.82,7,7,1.69,2.57,5.06
2.81,7,2.45,7,2.69,1.85,3.15,3.07,3.84,2.68
5.02,3.89,3.57,5.45,6.18,4.72,6.26,2.99,3.12,4.96
2.67,3.17,2.35,7,3.35,5.23,7,1.64,6.65,4.59
5.97,2.77,2.25,7,7,6.23,3.46,7,5.99,4.16
4.94,5.83,7,3.52,7,7,3.52,2.42,1.74,6.29
2.75,4.84,7,2.98,5.05,1.67,7,7,7,4.26
5.73,7,2.95,7,1.53,1.99,7,3.2,5.26,7
7,4.3,7,7,6.2,5.71,7,6.47,3.73,4.99
7,5.78,5.03,7,2.84,7,7,4.79,5.73,7
3.46,4.15,5.85,4.83,7,4.88,3.26,1.77,7,7
7,6.74,4.8,7,5.96,6.5,7,7,5.78,3.05
3.7,7,7,5.97,7,3.28,7,4.71,6.11,3.7
7,3.03,7,7,4.7,5.24,1.88,4.33,5.59,3.67
3.52,7,1.56,7,4.31,7,2.82,1.42,5.36,7
6.88,7,7,3.22,1.6,4.86,4.13,7,5.32,6.91
7,2.06,4.46,3.09,7,3.03,7,7,7,2.0
7,3.94,6.51,7,3.26,4.5,2.79,4.33,7,7
2.0,1.69,2.23,4.03,2.9,6.46,6.82,3.37,2.72,3.77
4.17,7,3.77,3.25,2.11,4.87,4.78,4.25,1.72,7
7,3.95,7,5.99,3.66,4.53,2.76,4.52,5.72,7
2.64,4.44,5.5,6.52,4.52,7,7,7,7,2.65
7,7,7,6.64,1.79,7,5.75,6.57,5.67,5.24
3.87,4.87,6.34,6.21,6.32,1.43,4.02,7,7,3.14
7,3.34,4.8,7,6.78,6.63,4.91,7,2.74,3.42
7,7,7,3.92,7,7,2.85,3.24,7,5.59
3.51,3.64,2.14,4.5,3.06,2.5,4.34,7,1.88,6.28
7,2.05,7,3.07,7,1.55,5.94,2.05,7,2.95
5.87,4.52,5.02,7,7,7,2.93,7,5.54,7
1.5,1.7,6.91,2.13,7,1.64,3.47,4.77,4.94,1.54
5.7,4.77,7,4.91,3.45,5.15,7,3.3,3.12,1.71
2.42,7,2.48,4.42,7,3.06,4.64,1.95,2.26,3.03
7,6.01,3.52,7,3.22,7,5.56,3.88,3.26,1.98
2.27,4.17,5.45,5.93,3.1,7,4.05,7,7,2.86
1.84,7,7,7,6.41,4.6,7,7,5.28,7
7,2.37,5.97,3.04,5.73,2.0,7,7,7,7
7,7,2.95,4.03,3.45,4.49,7,3.8,7,6.45
7,2.05,3.75,7,5.36,7,1.78,1.4,1.64,4.46
7,6.68,5.45,5.95,7,7,7,5.51,7,7
3.04,5.97,7,1.48,7,5.32,7,3.04,5.14,7
7,7,7,7,2.02,4.24,7,4.74,7,7
